WA00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,Area,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
53,7,960700,53007960700,3455,1326,W,143622058,137055528,53,7,960700,53007960700,3455,1326,W,143622058,137055528,143622058,137055528,100,100,100,100,3455,100,100,1326,100,100
53,7,960800,53007960800,9868,4314,P,33050540,31987916,53,7,960801,53007960801,2666,1115,W,25199840,25023572,25199840,25023572,76.25,78.23,100,100,2666,27.02,100,1115,25.85,100
53,7,960800,53007960800,9868,4314,P,33050540,31987916,53,7,960802,53007960802,7202,3199,W,7850700,6964344,7850700,6964344,23.75,21.77,100,100,7202,72.98,100,3199,74.15,100
53,7,960900,53007960900,9248,4059,P,44010857,44010857,53,7,961301,53007961301,1327,585,W,16713137,16713137,16713137,16713137,37.98,37.98,100,100,1327,14.35,100,585,14.41,100
53,7,960900,53007960900,9248,4059,P,44010857,44010857,53,7,961302,53007961302,7921,3474,W,27297720,27297720,27297720,27297720,62.02,62.02,100,100,7921,85.65,100,3474,85.59,100
53,7,961000,53007961000,6800,2875,W,3502041,3009866,53,7,961000,53007961000,6800,2875,W,3502041,3009866,3502041,3009866,100,100,100,100,6800,100,100,2875,100,100
53,7,961100,53007961100,9596,3256,W,7609743,6837424,53,7,961100,53007961100,9596,3256,W,7609743,6837424,7609743,6837424,100,100,100,100,9596,100,100,3256,100,100
53,7,961200,53007961200,3762,1507,W,320747482,315638438,53,7,961200,53007961200,3762,1507,W,320747482,315638438,320747482,315638438,100,100,100,100,3762,100,100,1507,100,100
53,9,980100,53009980100,1414,563,P,390388712,110351691,53,9,940000,53009940000,1414,563,W,110813764,110351691,110813764,110351691,28.39,100,100,100,1414,100,100,563,100,100
53,9,980100,53009980100,1414,563,P,390388712,110351691,53,9,990100,53009990100,0,0,P,2347457365,0,279574948,0,71.61,0,11.91,0,0,0,0,0,0,0
53,9,980200,53009980200,1783,668,P,1743590365,928790678,53,9,200,53009000200,1783,668,W,961399053,928790678,961399053,928790678,55.14,100,100,100,1783,100,100,668,100,100
53,9,980200,53009980200,1783,668,P,1743590365,928790678,53,9,990100,53009990100,0,0,P,2347457365,0,782191312,0,44.86,0,33.32,0,0,0,0,0,0,0
53,9,980300,53009980300,4695,1849,W,59492080,59398491,53,9,300,53009000300,4695,1849,W,59492080,59398491,59492080,59398491,100,100,100,100,4695,100,100,1849,100,100
53,9,980400,53009980400,1758,957,P,1202125413,1060478234,53,9,400,53009000400,1758,958,P,1067564003,1060485949,1067525148,1060447094,88.8,100,100,100,1758,100,100,957,100,99.9
53,9,980400,53009980400,1758,957,P,1202125413,1060478234,53,9,990100,53009990100,0,0,P,2347457365,0,134569125,0,11.19,0,5.73,0,0,0,0,0,0,0
53,9,980400,53009980400,1758,957,P,1202125413,1060478234,53,31,950702,53031950702,2131,1666,P,4182217568,3994936813,31140,31140,0,0,0,0,0,0,0,0,0,0
53,9,980600,53009980600,3370,1982,P,1408014910,1066378564,53,9,600,53009000600,3370,1982,P,1090853250,1066280483,1090851593,1066280483,77.47,99.99,100,100,3370,100,100,1982,100,100
53,9,980600,53009980600,3370,1982,P,1408014910,1066378564,53,9,990100,53009990100,0,0,P,2347457365,0,317058041,0,22.52,0,13.51,0,0,0,0,0,0,0
53,9,980600,53009980600,3370,1982,P,1408014910,1066378564,53,31,950702,53031950702,2131,1666,P,4182217568,3994936813,105276,98081,0.01,0.01,0,0,0,0,0,0,0,0
53,9,980700,53009980700,3534,1520,P,122666581,12320041,53,9,700,53009000700,3534,1520,W,12387838,12320041,12387838,12320041,10.1,100,100,100,3534,100,100,1520,100,100
53,9,980700,53009980700,3534,1520,P,122666581,12320041,53,9,990100,53009990100,0,0,P,2347457365,0,110278743,0,89.9,0,4.7,0,0,0,0,0,0,0
53,9,980800,53009980800,4181,2007,W,3141599,3141599,53,9,800,53009000800,4181,2007,W,3141599,3141599,3141599,3141599,100,100,100,100,4181,100,100,2007,100,100
53,9,980900,53009980900,2806,1508,P,2866494,2322893,53,9,900,53009000900,2806,1508,W,2322893,2322893,2322893,2322893,81.04,100,100,100,2806,100,100,1508,100,100
53,9,980900,53009980900,2806,1508,P,2866494,2322893,53,9,990100,53009990100,0,0,P,2347457365,0,543601,0,18.96,0,0.02,0,0,0,0,0,0,0
53,9,981000,53009981000,2477,1269,P,3730332,1778916,53,9,1000,53009001000,2477,1269,W,1778916,1778916,1778916,1778916,47.69,100,100,100,2477,100,100,1269,100,100
