Name,bg_id,tract_id,neighborhood,Year,Population,Population Density,Percent Families,Per Capita Household Income,Mean Household Income,Median Household Income,Ratio Mean over Median Income,perc_household_income_200k+,perc_household_income_150-200k,perc_household_income_125-150k,perc_household_income_100-125k,perc_household_income_75-100k,perc_household_income_50-75k,perc_household_income_35-50k,perc_household_income_25-35k,perc_household_income_15-25k,perc_households_income_under_15k,Percent White Non-Hispanic,Percent White Non-Hispanic Households,Percent Vacant Units,Percent Renter Occupied,perc_homes_over_1000000,perc_homes_750-1000k,perc_homes_500-$750k,perc_homes_400-500k,perc_homes_300-400k,perc_homes_250-300k,perc_homes_200-250k,perc_homes_175-200k,perc_homes_150-175k,perc_homes_125-150k,perc_homes_100-125k,perc_homes_80-100k,Median Home Value,Median Rent,Percent Rent 250-499,Percent Rent 500-749,Percent Rent 750-999,Percent Rent 1000-1249,Percent Rent 1250-1499,Percent Rent 1500-1999,Percent Rent 2000+,Percent In Structure 3-4 Units,Percent in Structures w 5+ Units,Housing Units,Median Year Moved In,Percent Moved in 1990-1999,Percent Moved in 1980-1989,Percent Moved in 1970-1979,Percent Unemployed,"Percent Families, Married w Children Under 18",Percent Non-Married Families,Percent Household 3+ Vehicles,Percent Public Transportation to Work,Percent Bachelors Degree
BG0005001,530330005001,5303300050,Broadview,2017,1390,1969.7,84.4604,120102,293906.0,172464.0,1.704158549,43.2862,12.1908,10.6007,10.0707,7.2438,3.7102,0.8834,0.53,2.8269,8.6572,86.1151,90.9894,3.2479,6.8905,21.6319,11.1954,43.2638,12.5237,9.6774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650655.0,1500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,585,2001,19.788,7.7739,6.7138,3.8156,32.2115,10.8173,32.1555,5.6198,58.6368
BG0005002,530330005002,5303300050,Broadview,2017,988,6325.9,82.99600000000001,66933,161150.0,126724.0,1.271661248,36.1858,7.335,6.846,8.312999999999999,13.6919,15.8924,5.867999999999999,0.7335,0.978,4.1565,80.7692,85.8191,2.6189999999999998,10.0244,0.0,16.5761,45.9239,22.5543,14.9457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568047.0,1208.0,7.3171,7.3171,12.1951,14.6341,14.6341,14.6341,14.6341,0.0,0.0,420,2001,13.6919,11.7359,6.357,3.7862,31.8493,16.0959,32.0294,18.0556,62.3377
BG0005003,530330005003,5303300050,Broadview,2017,1183,4709.0,84.0237,55888,137170.0,107609.0,1.274707506,20.1245,13.277999999999999,9.9585,9.5436,12.0332,11.4108,4.7718,2.2822,4.3568,12.2407,83.432,90.249,5.4902,6.4315,0.0,9.3126,44.7894,23.9468,18.6253,0.0,3.3259,0.0,0.0,0.0,0.0,0.0,523399.0,1167.0,0.0,0.0,0.0,74.1935,0.0,25.8065,0.0,0.0,0.0,510,2001,17.8423,8.9212,8.5062,3.9179,35.2601,12.1387,32.1576,11.8447,58.9744
BG0006001,530330006001,5303300060,Haller Lake,2017,1568,4508.1,80.9949,30206,78473.0,65957.0,1.189759995,3.6545,6.1462,13.4551,8.3056,9.9668,23.4219,12.1262,5.1495,4.485,13.289000000000001,57.5893,67.1096,2.4311,28.5714,0.0,0.0,7.2093,12.3256,44.6512,8.8372,11.1628,4.8837,0.0,6.0465,0.0,0.0,331771.0,885.0,0.0,41.2791,7.5581,18.0233,23.8372,0.0,0.0,0.0,16.6936,617,2004,5.6478,4.3189,9.8007,3.7887,31.2655,25.5583,11.1296,9.7852,38.1206
BG0006002,530330006002,5303300060,Pinehurst,2017,1322,13843.4,60.9682,43945,84014.0,44828.0,1.874141162,10.1471,4.8529,0.8824,5.0,10.7353,15.4412,8.5294,8.5294,11.4706,24.4118,54.0091,66.6176,4.7619,71.3235,0.0,0.0,15.3846,16.4103,6.6667,26.1538,9.2308,0.0,0.0,0.0,0.0,13.0769,277885.0,941.0,8.6598,8.0412,27.6289,22.0619,5.3608,0.0,16.0825,0.0,77.1707,714,2003,5.1471,4.7059,0.0,3.7736,23.2143,31.0714,11.3235,30.2521,38.931999999999995
BG0006003,530330006003,5303300060,Haller Lake,2017,1601,5409.4,71.6427,39975,87857.0,61325.0,1.43264574,13.4986,2.7548,1.5152,9.6419,13.7741,16.1157,12.8099,9.6419,5.6474,14.6006,61.8364,70.3857,3.8411,40.3581,0.0,3.2333,21.0162,13.6259,13.3949,5.0808,10.6236,0.0,0.0,0.0,3.2333,0.0,310169.0,992.0,0.0,6.4846,44.7099,27.6451,21.1604,0.0,0.0,0.0,25.1656,755,2004,13.4986,7.8512,4.4077,3.8418,26.5152,25.5051,11.2947,21.8566,40.6091
BG0006004,530330006004,5303300060,North College Park,2017,1731,4601.1,67.0133,49143,107816.0,89720.0,1.20169416,8.6185,12.4208,16.73,6.7174,13.4347,18.6312,8.6185,6.8441,4.0558,3.929,47.6025,56.147,3.1902,52.218,0.0,0.0,4.7745,26.5252,43.2361,6.6313,11.4058,0.0,0.0,0.0,0.0,0.0,356707.0,1078.0,0.0,0.0,38.1068,28.6408,8.0097,19.4175,0.0,1.5951,23.9264,815,2003,8.872,8.7452,4.5627,3.792,24.811999999999998,29.0727,11.1534,25.4505,36.0598
BG0006005,530330006005,5303300060,Haller Lake,2017,889,4092.2,78.6277,47866,128704.0,115441.0,1.114889857,29.052,5.8104,11.315,10.0917,9.7859,9.1743,8.8685,9.4801,5.1988,1.2232,62.7672,69.7248,4.6647,25.3823,0.0,0.0,8.6066,34.4262,44.6721,0.0,12.2951,0.0,0.0,0.0,0.0,0.0,384404.0,1106.0,0.0,0.0,0.0,86.74700000000001,0.0,0.0,0.0,0.0,0.0,343,2002,8.8685,2.7523,5.8104,3.8934,31.3636,24.5455,11.315,16.4179,39.1831
BG0006006,530330006006,5303300060,Pinehurst,2017,1411,11009.7,68.4621,60316,134269.0,88938.0,1.509692145,7.9114,13.9241,3.7975,16.4557,17.8797,21.3608,8.8608,4.5886,2.3734,2.8481,49.6811,56.0127,10.2273,48.7342,0.0,0.0,8.642000000000001,10.8025,37.037,7.0988,16.0494,6.1728,0.0,0.0,0.0,7.09875,317500.0,1051.0,8.1169,3.5714,32.4675,23.3766,14.2857,15.9091,0.0,9.8011,41.9034,704,2004,5.2215,4.1139,4.1139,3.7084,29.9094,30.5136,10.9177,14.3426,40.4215
BG0007001,530330007001,5303300070,Victory Heights,2017,1756,21965.9,56.4351,35559,67141.0,52407.0,1.281145648,3.0108,5.1613,5.914,9.4624,13.3333,14.5161,13.6559,10.3226,10.9677,13.6559,42.0843,52.3656,9.002,78.2796,0.0,0.0,0.0,18.3168,33.1683,12.8713,21.7822,6.4356,0.0,0.0,7.4257,0.0,304478.0,867.0,3.2967,16.4835,53.8462,7.6923,10.4396,2.4725,0.0,5.9687,63.0136,1022,2003,1.9355,0.4301,0.0,3.7681,24.2254,45.6338,11.9355,33.0321,43.3904
BG0007002,530330007002,5303300070,Matthews Beach,2017,1279,7579.7,65.2854,31849,71893.0,57692.0,1.246151979,4.2553,3.7234,9.2199,6.9149,13.1206,18.4397,17.7305,9.2199,7.0922,10.2837,55.2776,61.7021,7.6923,57.6241,0.0,0.0,4.6025,16.317999999999998,24.6862,32.2176,10.8787,5.8577,0.0,0.0,5.4393,0.0,292949.0,816.0,0.0,40.3077,37.2308,0.0,15.0769,7.3846,0.0,4.2553,27.0049,611,2003,5.6738,3.5461,1.4184,3.7787,28.169,31.6901,11.7021,37.4474,55.6614
BG0007003,530330007003,5303300070,Pinehurst,2017,970,7703.7,72.5773,59002,126900.0,97569.0,1.300618024,16.8514,14.8559,9.3126,7.5388,15.7428,18.847,11.0865,2.6608,0.4435,2.6608,62.5773,66.9623,4.6512,35.6984,0.0,0.0,7.5862,22.069000000000003,32.4138,9.3103,8.9655,19.6552,0.0,0.0,0.0,0.0,337234.0,1264.0,0.0,0.0,29.1925,19.8758,21.118000000000002,0.0,29.8137,0.0,31.0782,473,2004,13.3038,7.0953,5.0998,3.9049,22.3108,21.9124,11.5299,20.4947,59.1512
