X	Y	GEO_ID_GRP	BLKGRP	GRPLABEL_TRIM	TRACT_LBL	TRTLABEL_COMP	TRTLABEL_TRIM	COUNTY	STATE	TRACT_ID	GROUP_AREA	GROUP_PERI
-122.2795037	47.69299719	530330022003	22003	22.0 3	Tract 002200	2200	22	33	53	53033002200	32212764.91	39223.8812
-122.2727899	47.68733887	530330022004	22004	22.0 4	Tract 002200	2200	22	33	53	53033002200	10601215.54	13701.36642
-122.2845851	47.68798486	530330024001	24001	24.0 1	Tract 002400	2400	24	33	53	53033002400	4464330.896	10102.66095
-122.2840941	47.68394636	530330024002	24002	24.0 2	Tract 002400	2400	24	33	53	53033002400	1917182.865	6902.789971
-122.2926606	47.68633322	530330024003	24003	24.0 3	Tract 002400	2400	24	33	53	53033002400	4157257.104	8909.859093
-122.3014736	47.68651171	530330025001	25001	25.0 1	Tract 002500	2500	25	33	53	53033002500	6694752.129	11156.64556
-122.3036586	47.67941315	530330025002	25002	25.0 2	Tract 002500	2500	25	33	53	53033002500	3899871.115	8218.541389
-122.3094855	47.68759083	530330026001	26001	26.0 1	Tract 002600	2600	26	33	53	53033002600	2640901.893	6637.010742
-122.3120452	47.68122692	530330026002	26002	26.0 2	Tract 002600	2600	26	33	53	53033002600	4364685.849	9220.046854
-122.3120016	47.67761724	530330026003	26003	26.0 3	Tract 002600	2600	26	33	53	53033002600	3517998.948	7990.491451
-122.3147063	47.68603812	530330026004	26004	26.0 4	Tract 002600	2600	26	33	53	53033002600	2874790.663	8194.962945
-122.3206497	47.68708707	530330027001	27001	27.0 1	Tract 002700	2700	27	33	53	53033002700	3898579.796	8051.856533
-122.3278933	47.68671353	530330027002	27002	27.0 2	Tract 002700	2700	27	33	53	53033002700	5361196.375	12323.36524
-122.3344923	47.68713146	530330027003	27003	27.0 3	Tract 002700	2700	27	33	53	53033002700	3395503.175	8248.822854
-122.3415077	47.68666671	530330027004	27004	27.0 4	Tract 002700	2700	27	33	53	53033002700	4498866.832	9323.114748
-122.3499039	47.68548372	530330028001	28001	28.0 1	Tract 002800	2800	28	33	53	53033002800	2827264.673	7447.416356
-122.3498636	47.68291282	530330028002	28002	28.0 2	Tract 002800	2800	28	33	53	53033002800	2168315.266	6978.026457
-122.3500318	47.68072881	530330028003	28003	28.0 3	Tract 002800	2800	28	33	53	53033002800	2062537.263	6815.889705
-122.3499147	47.68875923	530330028004	28004	28.0 4	Tract 002800	2800	28	33	53	53033002800	3526326.642	7967.403042
-122.3604038	47.68858146	530330029001	29001	29.0 1	Tract 002900	2900	29	33	53	53033002900	3882675.557	8502.350502
-122.358346	47.68265775	530330029002	29002	29.0 2	Tract 002900	2900	29	33	53	53033002900	3558012.934	8432.035896
-122.3635179	47.68354177	530330029003	29003	29.0 3	Tract 002900	2900	29	33	53	53033002900	3174085.281	8090.427423
-122.3681937	47.68509538	530330030001	30001	30.0 1	Tract 003000	3000	30	33	53	53033003000	4421323.111	10287.33113
-122.376292	47.68874596	530330030002	30002	30.0 2	Tract 003000	3000	30	33	53	53033003000	3948969.794	8523.364677
-122.3735972	47.68322522	530330030003	30003	30.0 3	Tract 003000	3000	30	33	53	53033003000	4205961.908	8505.670755
-122.3794364	47.68323104	530330030004	30004	30.0 4	Tract 003000	3000	30	33	53	53033003000	3495967.195	7997.679547
-122.3854431	47.68778479	530330031001	31001	31.0 1	Tract 003100	3100	31	33	53	53033003100	3291448.511	7308.542976
-122.3912503	47.68658734	530330031002	31002	31.0 2	Tract 003100	3100	31	33	53	53033003100	3341067.144	8234.766858
-122.3854538	47.6822843	530330031003	31003	31.0 3	Tract 003100	3100	31	33	53	53033003100	3181281.469	7228.803694
-122.395063	47.68123106	530330031004	31004	31.0 4	Tract 003100	3100	31	33	53	53033003100	4141391.255	9185.620978
-122.3999845	47.68772165	530330031005	31005	31.0 5	Tract 003100	3100	31	33	53	53033003100	13833416.72	27381.59363
-122.390262	47.67736923	530330032001	32001	32.0 1	Tract 003200	3200	32	33	53	53033003200	2056917.749	5778.424988
-122.3902556	47.67309775	530330032002	32002	32.0 2	Tract 003200	3200	32	33	53	53033003200	2089577.967	5813.324675
-122.3896665	47.66917228	530330032003	32003	32.0 3	Tract 003200	3200	32	33	53	53033003200	8453812.195	18354.80539
-122.4001539	47.66966585	530330032004	32004	32.0 4	Tract 003200	3200	32	33	53	53033003200	2797209.32	8518.5007
-122.3956473	47.67304708	530330032005	32005	32.0 5	Tract 003200	3200	32	33	53	53033003200	2069605.752	5781.232152
-122.4037649	47.67545154	530330032006	32006	32.0 6	Tract 003200	3200	32	33	53	53033003200	20346983.88	34093.6754
-122.3975885	47.67749035	530330032007	32007	32.0 7	Tract 003200	3200	32	33	53	53033003200	3425946.766	8604.654962
-122.3713509	47.67776913	530330033001	33001	33.0 1	Tract 003300	3300	33	33	53	53033003300	3440741.633	7832.411805
-122.3697925	47.67417907	530330033002	33002	33.0 2	Tract 003300	3300	33	33	53	53033003300	2415815.69	6318.988137
-122.3778022	47.67417679	530330033003	33003	33.0 3	Tract 003300	3300	33	33	53	53033003300	2817811.416	6884.876724
-122.3850867	47.67476374	530330033004	33004	33.0 4	Tract 003300	3300	33	33	53	53033003300	2273632.063	6572.120434
-122.3815142	47.67795781	530330033005	33005	33.0 5	Tract 003300	3300	33	33	53	53033003300	3005159.968	8277.81515
-122.3617718	47.67416647	530330034001	34001	34.0 1	Tract 003400	3400	34	33	53	53033003400	2832563.758	6916.475194
-122.3616994	47.6777765	530330034002	34002	34.0 2	Tract 003400	3400	34	33	53	53033003400	2733483.148	6841.850334
-122.3617612	47.67047919	530330034003	34003	34.0 3	Tract 003400	3400	34	33	53	53033003400	2906275.156	7263.173368
-122.3516137	47.67785498	530330035001	35001	35.0 1	Tract 003500	3500	35	33	53	53033003500	3741879.437	8685.366683
