,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter Occupied Units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
77,77,53033007700,"Census Tract 77, King County, Washington",Seattle,29,52,368.0,65.1,2977.0,104632,45,3970.0,32.9,431000,96,600,241,0.71,2015,,1.3999999999999915,-40200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
78,78,53033007800,"Census Tract 78, King County, Washington",Seattle,17,33,550.0,79.1,3972.0,137358,24,1320.0,27.8,740300,29,160,259,0.67,2015,,-2.1000000000000085,-100500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
79,79,53033007900,"Census Tract 79, King County, Washington",Seattle,26,74,139.0,66.7,3999.0,57786,68,1008.0,22.0,403400,112,2116,161,0.72,2015,,12.0,36100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
80,80,53033008001,"Census Tract 80.01, King County, Washington",Seattle,16,72,252.0,67.0,4334.0,88068,73,530.0,15.8,378400,0,4175,38,0.65,2015,,-2.0,-32500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
81,81,53033008002,"Census Tract 80.02, King County, Washington",Seattle,15,81,47.0,50.4,2327.0,37466,81,2122.0,12.6,463600,0,2421,16,0.7,2015,,-7.399999999999999,-226800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
82,82,53033008100,"Census Tract 81, King County, Washington",Seattle,18,71,61.0,52.2,3981.0,75531,80,2907.0,19.7,598600,0,3251,0,0.64,2015,,4.300000000000004,116200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
83,83,53033008200,"Census Tract 82, King County, Washington",Seattle,18,77,46.0,66.9,2551.0,56318,86,1825.0,17.1,503600,17,2810,6,0.64,2015,,7.6000000000000085,212200.0,HaveGentrified,true,HaveGentrified
84,84,53033008300,"Census Tract 83, King County, Washington",Seattle,17,82,6.0,56.5,2263.0,49291,77,1972.0,35.5,315700,16,2012,15,0.75,2015,,0.3999999999999986,-182100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
85,85,53033008400,"Census Tract 84, King County, Washington",Seattle,31,82,58.0,62.2,3194.0,42339,89,2206.0,25.9,364700,15,3112,8,0.72,2015,,8.800000000000004,-1800.0,EligibleForGentrification,false,NotCurrentlyGentrifying
86,86,53033008500,"Census Tract 85, King County, Washington",Seattle,22,76,10.0,30.5,3051.0,29883,89,1529.0,26.2,325800,91,1841,11,0.48,2015,,15.4,34700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
87,87,53033008600,"Census Tract 86, King County, Washington",Seattle,20,81,27.0,65.2,1969.0,43375,80,2649.0,27.1,398800,269,1419,80,0.59,2015,,17.6,17200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
88,88,53033008700,"Census Tract 87, King County, Washington",Seattle,21,62,146.0,49.6,2876.0,56700,64,1670.0,32.9,403500,170,697,190,0.5,2015,,1.8000000000000043,-59700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
89,89,53033008800,"Census Tract 88, King County, Washington",Seattle,30,49,289.0,59.1,2447.0,76524,49,1501.0,28.6,483100,83,270,121,0.62,2015,,10.600000000000001,71300.0,HaveGentrified,true,HaveGentrified
90,90,53033008900,"Census Tract 89, King County, Washington",Seattle,12,49,326.0,59.1,3672.0,79953,51,1147.0,23.9,483200,133,602,201,0.48,2015,,6.200000000000003,7100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
91,91,53033009000,"Census Tract 90, King County, Washington",Seattle,25,67,195.0,43.1,1924.0,44571,72,737.0,25.0,302100,125,1126,42,0.38,2015,,9.300000000000004,-40000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
92,92,53033009100,"Census Tract 91, King County, Washington",Seattle,47,67,130.0,24.4,1809.0,29464,93,1056.0,21.3,251400,70,1375,8,0.16,2015,,4.699999999999999,-109500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
93,93,53033009200,"Census Tract 92, King County, Washington",Seattle,33,83,95.0,34.9,2019.0,25625,96,1256.0,18.0,353600,0,1863,9,0.48,2015,,8.0,33600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
94,94,53033009300,"Census Tract 93, King County, Washington",Seattle,26,60,98.0,43.4,1757.0,70458,48,1325.0,27.2,347500,18,698,120,0.47,2015,,2.299999999999997,-44200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
95,95,53033009400,"Census Tract 94, King County, Washington",Seattle,23,44,335.0,40.6,3984.0,47737,59,1658.0,16.2,359500,565,728,245,0.32,2015,,5.0,56100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
96,96,53033009500,"Census Tract 95, King County, Washington",Seattle,18,44,441.0,58.4,4018.0,81676,30,512.0,17.6,503600,47,324,217,0.62,2015,,3.299999999999997,-20800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
97,97,53033009600,"Census Tract 96, King County, Washington",Seattle,12,53,411.0,60.5,4647.0,77808,49,1497.0,20.7,621100,344,1131,351,0.81,2015,,4.799999999999997,11700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
98,98,53033009701,"Census Tract 97.01, King County, Washington",Seattle,15,52,371.0,64.6,4578.0,82333,48,783.0,36.8,618400,199,1146,280,0.84,2015,,4.799999999999997,-21400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
99,99,53033009702,"Census Tract 97.02, King County, Washington",Seattle,16,32,606.0,64.9,3780.0,106319,15,1341.0,48.6,457500,47,161,373,0.86,2015,,6.1000000000000085,1700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
