,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
188,188,53033023603,"Census Tract 236.03, King County, Washington",Beaux Art Village,20,34,566.0,59.8,3934.0,87236,73,11.4,554400,570,1263,290,0.4,2015,,-0.30000000000000426,54500.0,NotEligibleForGentrification,true,HaveGentrified
189,189,53033023604,"Census Tract 236.04, King County, Washington",Beaux Art Village,17,41,471.0,50.2,4003.0,72383,60,31.5,463700,449,1193,409,0.43,2015,,-4.199999999999999,-125000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
190,190,53033023700,"Census Tract 237, King County, Washington",Beaux Art Village,11,32,448.0,71.3,2713.0,96268,34,26.5,661400,88,515,247,0.68,2015,,-6.0,-78200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
191,191,53033023801,"Census Tract 238.01, King County, Washington",Beaux Art Village,8,50,201.0,66.4,2053.0,97674,52,26.8,542800,147,546,99,0.57,2015,,-7.400000000000002,-30200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
192,192,53033023803,"Census Tract 238.03, King County, Washington",Beaux Art Village,13,58,311.0,76.1,1870.0,96975,90,26.3,383100,18,3390,17,0.53,2015,,-0.10000000000000142,-43400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
193,193,53033023804,"Census Tract 238.04, King County, Washington",Beaux Art Village,7,63,242.0,69.8,2428.0,89479,73,27.8,441900,0,4409,81,0.56,2015,,-0.09999999999999787,3100.0,NotEligibleForGentrification,true,HaveGentrified
194,194,53033023900,"Census Tract 239, King County, Washington",Beaux Art Village,12,34,731.0,67.5,4801.0,117308,32,24.1,857500,97,745,522,0.73,2015,,3.4000000000000057,-55500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
195,195,53033024000,"Census Tract 240, King County, Washington",Beaux Art Village,9,43,798.0,72.0,4995.0,107479,44,29.4,807500,197,1203,541,0.6,2015,,4.900000000000002,23100.0,HaveGentrified,true,HaveGentrified
196,196,53033024100,"Census Tract 241, King County, Washington",Clyde Hill,5,13,645.0,77.3,2751.0,189231,8,35.7,1527900,0,0,693,0.79,2015,,-1.5,-70300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
197,197,53033024200,"Census Tract 242, King County, Washington",Beaux Art Village,4,17,422.0,82.2,1908.0,175625,8,40.7,1555600,0,0,435,0.74,2015,,9.899999999999999,-184100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
198,198,53033024300,"Census Tract 243, King County, Washington",Beaux Art Village,9,42,717.0,74.0,4900.0,103178,41,19.0,768200,72,1984,545,0.71,2015,,8.199999999999996,-75100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
199,199,53033024400,"Census Tract 244, King County, Washington",Beaux Art Village,11,48,205.0,69.5,2278.0,69583,65,37.9,738100,9,974,155,0.73,2015,,-1.5,12800.0,NotEligibleForGentrification,true,HaveGentrified
200,200,53033024500,"Census Tract 245, King County, Washington",Beaux Art Village,6,12,627.0,79.7,3321.0,167361,14,20.7,921000,9,0,481,0.74,2015,,1.7999999999999972,50700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
201,201,53033024601,"Census Tract 246.01, King County, Washington",Beaux Art Village,4,12,555.0,81.8,3061.0,175132,4,0.0,945800,0,10,542,0.78,2015,,5.599999999999998,-38800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
202,202,53033024602,"Census Tract 246.02, King County, Washington",Beaux Art Village,5,10,553.0,81.2,2476.0,195156,2,0.0,976400,0,0,448,0.79,2015,,0.49999999999999645,-314300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
203,203,53033024701,"Census Tract 247.01, King County, Washington",Beaux Art Village,9,29,458.0,55.4,2313.0,83712,33,30.6,448200,81,304,267,0.59,2015,,8.8,29000.0,HaveGentrified,false,NotCurrentlyGentrifying
204,204,53033024702,"Census Tract 247.02, King County, Washington",Newcastle,6,25,654.0,56.0,4842.0,106941,20,28.8,472500,56,384,826,0.64,2015,,2.1000000000000014,-39900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
