Id,Geography,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Percentage: Public transportation (excluding taxicab),Estimate; Public transportation (excluding taxicab):,Estimate; Total:,Percentage: Nonfamily household,Nonfamily household; Estimate; Total households,Total; Estimate; Total households,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Median income - families,Percentage: Renter-occupied housing units,Occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,"Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more",Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more,Estimate; Total: - 5 to 9,Estimate; Total: - 10 to 19,Estimate; Total: - 20 to 49,Estimate; Total: - 50 or more, 3 or more vehicles available,Estimate; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Estimate; Not Hispanic or Latino: - White alone,Estimate; Total:.1,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def1,increase_in_home_price_distribution_2015,def2,increase_in_workers_taking_transit_2015,def3,increase_in_non_family_households_2015,dwelling_units_5_or_more_2015,dwelling_units_3_or_4_2015,increase_in_renter_occupied_housing_units_2015,increase_in_vehicles_3_or_more,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio,CRA_NO,Neighborhood
53033000402.0,"Census Tract 4.02, King County, Washington",4.8,8.5,8.7,4.1,7.8,8.0,5.7,2.2,3.9,2.5,3.6,3.9,12.2,15.0,312.0,2115.0,50.0,1146.0,2275.0,,40.8,,45183.0,1129,56.99999999999999,2275.0,1291.0,598.0,347.0,106.0,62.0,83.0,387400.0,0.0,1073.0,165.0,217.0,691.0,,188.0,,,0.75,3495.0,4662.0,2010.0,418392.0,,,None,,None,,None,,,,,,98133,0.8590809629999999,1.0,0.995145631,0.875,,
53033000500.0,"Census Tract 5, King County, Washington",1.5,3.2,6.0,8.2,6.2,7.9,10.8,12.9,6.7,3.6,5.4,1.1,3.9,10.0,148.0,1537.0,24.0,295.0,1246.0,243.0,70.8,2542.0,125400.0,145388,5.0,1246.0,63.0,0.0,0.0,0.0,0.0,0.0,568400.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,211.0,61.0,0.86,2625.0,3044.0,2015.0,,8.5,-75388.0,NotEligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,False,False,True,False,98177,1.0,1.0,1.0,1.0,,
53033000500.0,"Census Tract 5, King County, Washington",1.3,2.0,4.6,8.1,10.2,10.8,9.5,10.0,4.9,2.7,2.8,2.5,3.8,5.0,82.0,1673.0,21.0,289.0,1347.0,,62.3,,110125.0,1058,2.0,1347.0,23.0,0.0,0.0,0.0,0.0,0.0,596100.0,0.0,0.0,0.0,0.0,0.0,,441.0,,,0.8,2788.0,3474.0,2010.0,643788.0,,,None,,None,,None,,,,,,98177,1.0,1.0,1.0,1.0,,
53033000600.0,"Census Tract 6, King County, Washington",12.0,9.1,10.0,5.9,5.5,5.2,6.8,7.2,5.5,3.8,1.3,1.1,2.2,18.0,788.0,4272.0,46.0,1529.0,3345.0,513.0,46.0,5608.0,60131.0,68884,48.0,3345.0,1595.0,21.9,7.0,6.8,8.1,0.0,365000.0,68.0,1261.0,139.0,104.0,806.0,212.0,435.0,317.0,118.0,0.62,4780.0,7674.0,2015.0,,9.0,-30820.0,HaveGentrified,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,False,True,False,98133,0.525931929,0.818518519,0.520123839,0.5438882420000001,,
53033000600.0,"Census Tract 6, King County, Washington",12.0,9.1,10.0,5.9,5.5,5.2,6.8,7.2,5.5,3.8,1.3,1.1,2.2,18.0,788.0,4272.0,46.0,1529.0,3345.0,513.0,46.0,5608.0,60131.0,68884,48.0,3345.0,1595.0,21.9,7.0,6.8,8.1,0.0,365000.0,68.0,1261.0,139.0,104.0,806.0,212.0,435.0,317.0,118.0,0.62,4780.0,7674.0,2015.0,,9.0,-30820.0,HaveGentrified,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,False,True,False,98125,0.47406807100000004,0.18148148100000003,0.479876161,0.456111758,,
53033000600.0,"Census Tract 6, King County, Washington",8.9,10.6,8.0,5.5,7.8,7.5,6.6,3.5,4.3,4.6,2.8,3.9,3.4,19.0,779.0,4029.0,52.0,1739.0,3358.0,,37.0,,56944.0,1619,38.0,3358.0,1263.0,352.0,141.0,57.0,14.0,140.0,366500.0,85.0,1167.0,194.0,244.0,729.0,,485.0,,,0.55,4008.0,7235.0,2010.0,395820.0,,,None,,None,,None,,,,,,98133,0.525931929,0.818518519,0.520123839,0.5438882420000001,,
53033000600.0,"Census Tract 6, King County, Washington",8.9,10.6,8.0,5.5,7.8,7.5,6.6,3.5,4.3,4.6,2.8,3.9,3.4,19.0,779.0,4029.0,52.0,1739.0,3358.0,,37.0,,56944.0,1619,38.0,3358.0,1263.0,352.0,141.0,57.0,14.0,140.0,366500.0,85.0,1167.0,194.0,244.0,729.0,,485.0,,,0.55,4008.0,7235.0,2010.0,395820.0,,,None,,None,,None,,,,,,98125,0.47406807100000004,0.18148148100000003,0.479876161,0.456111758,,
53033000700.0,"Census Tract 7, King County, Washington",11.5,7.9,4.6,8.8,4.8,5.2,4.5,8.5,6.3,2.9,1.6,1.6,0.4,28.000000000000004,765.0,2768.0,51.0,1106.0,2169.0,319.0,51.7,3505.0,51741.0,74917,50.0,2169.0,1087.0,28.0,16.9,8.8,2.3,0.0,323700.0,103.0,1054.0,214.0,424.0,244.0,172.0,222.0,148.0,74.0,0.57,2797.0,4892.0,2015.0,,-0.7999999999999972,-73524.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,False,True,False,False,98125,1.0,1.0,1.0,1.0,,
53033000700.0,"Census Tract 7, King County, Washington",13.5,14.7,5.3,9.5,7.0,5.8,9.2,2.7,2.7,2.1,1.6,0.7,0.5,23.0,664.0,2907.0,49.0,1115.0,2268.0,,52.5,,44144.0,1153,68.0,2268.0,1531.0,797.0,287.0,135.0,12.0,363.0,367800.0,78.0,1371.0,142.0,592.0,637.0,,230.0,,,0.59,2753.0,4643.0,2010.0,397224.0,,,None,,None,,None,,,,,,98125,1.0,1.0,1.0,1.0,,
53033000800.0,"Census Tract 8, King County, Washington",6.0,3.2,8.4,7.0,7.8,7.0,12.2,8.8,4.2,3.6,2.5,2.6,2.9,17.0,228.0,1376.0,35.0,354.0,1020.0,197.0,59.7,2270.0,87222.0,118839,26.0,1020.0,269.0,37.9,13.0,2.6,13.4,8.9,419900.0,0.0,64.0,0.0,26.0,38.0,0.0,175.0,163.0,12.0,0.83,2058.0,2487.0,2015.0,,10.800000000000004,-16636.0,HaveGentrified,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,False,True,False,98125,1.0,1.0,1.0,1.0,,
