,Id,Geography,neighborhood,city,year,total population,total households,median house value,percent public transportation,percent white not hispanic,median income,median family income,percent nonfamily household,median gross rent,median_contract_rent,percent renter-occupied housing units,monthly housing costs 30+ percent of renter householdhold income,rent 35-39.9 percent of household income,rent 40-49.9 percent of household income,rent 50 percent of household income,not computed rent as percent of household income,3-4 dwelling units,5+ dwelling units,3+ vehicles available,percent bachelors degree or higher,bachelor deg 25yr+,percent bachelor deg 25yr+,children under18 in family household,children under18 in married household,"household income 20,000-29,999","household income 30,000-39,999","household income 40,000-49,999","household income 50,000-59,999","household income 60,000-74,999","household income 75,000-99,999","household income 100,000-124,999","household income 125,000-149,999","household income 150,000-199,999","household income 200,000+",total count household income,total population 25yr+,total female 25-29yr,total female 30-39yr,total female 40-49yr,total female 50-59yr,total female 60-64yr,total female 65-69yr,total female 70yr+,total male 25-29yr,total male 30-39yr,total male 40-49yr,total male 50-59yr,total male 60-64yr,total male 65-69yr,total male 70yr+,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_rent_2015,increase_in_home_price_distribution_2015,def_2
54,53033002700,"Census Tract 27, King County, Washington",Greenwood,Seattle,2015,6027,2319,538300,0.241064007,0.7670482829999999,111661,121667,0.430789133,1583,1415.0,0.323415265,21.5,34,67,84,63,22,241,365,69.9,1729,0.3859375,1006,903,69,116,129,154,233,165,327,131,344,522,2319,4480,231,627,479,258,166,187,153,410,814,364,311,279,104,97,581364.0,-2.0,-1080001.08,NotEligibleForGentrification,209.0,false,NotCurrentlyGentrifying
55,53033002700,"Census Tract 27, King County, Washington",Greenwood,Seattle,2010,4877,2167,540500,0.189963054,0.766864876,89281,1197,0.44762344299999995,1184,1163.0,0.28057222,436.0,71,66,58,0,79,393,327,72.4,1556,0.41284160299999995,685,544,55,152,177,172,298,432,157,133,264,237,2167,3769,251,565,368,297,127,80,72,423,540,305,398,124,109,110,583740.0,0.09999999999999432,-12420.0,None,205.0,false,None
56,53033002800,"Census Tract 28, King County, Washington",Greenwood,Seattle,2015,4727,2032,510400,0.22095829,0.851491432,90568,131429,0.458661417,1296,1244.0,0.419291339,49.6,129,52,95,12,195,499,265,72.3,1732,0.484882419,859,746,135,176,107,162,179,183,244,237,236,234,2032,3572,377,584,372,287,123,75,100,218,541,350,346,51,64,84,551232.0,1.1000000000000085,-97632.0,NotEligibleForGentrification,431.0,false,NotCurrentlyGentrifying
57,53033002800,"Census Tract 28, King County, Washington",Greenwood,Seattle,2010,4008,2012,464800,0.233959311,0.811626747,62385,900,0.552683897,1140,1130.0,0.41500994,296.0,32,14,255,37,106,507,240,70.7,1531,0.47858705799999995,672,535,230,79,198,136,242,280,233,119,179,78,2012,3199,285,464,363,332,160,14,123,221,408,359,221,129,75,45,501984.00000000006,-2.5999999999999943,14040.0,None,276.0,false,None
58,53033002900,"Census Tract 29, King County, Washington",Whittier Heights,Seattle,2015,4303,1878,492300,0.172929448,0.891471067,103750,129508,0.444621938,1338,1194.0,0.34771033,29.0,33,103,141,13,63,270,221,69.6,1224,0.37673130200000005,874,765,62,97,120,132,139,186,219,210,243,286,1878,3249,160,409,529,292,74,90,107,167,336,583,277,61,113,51,531684.0,-4.800000000000004,54648.00000000006,NotEligibleForGentrification,206.0,true,HaveGentrified
59,53033002900,"Census Tract 29, King County, Washington",Whittier Heights,Seattle,2010,4117,1789,469400,0.20117647100000002,0.867622055,91156,980,0.452207937,1005,835.0,0.289547233,109.0,0,8,108,0,11,338,184,66.8,1153,0.3603125,722,662,80,91,93,87,249,214,324,210,215,55,1789,3200,151,496,378,302,103,25,116,112,589,423,309,84,22,90,506952.00000000006,6.300000000000004,-40283.99999999994,None,340.0,false,None
60,53033003000,"Census Tract 30, King County, Washington",Whittier Heights,Seattle,2015,5719,2434,496900,0.177304965,0.85084805,90789,98110,0.457682827,1507,1419.0,0.348397699,32.3,42,134,120,36,61,281,350,65.9,1607,0.39688812100000004,1317,1092,135,143,142,136,236,350,336,234,291,212,2434,4049,84,642,435,453,198,104,181,184,555,523,344,162,107,77,536652.0,13.400000000000006,41472.0,HaveGentrified,225.0,false,NotCurrentlyGentrifying
61,53033003000,"Census Tract 30, King County, Washington",Whittier Heights,Seattle,2010,5578,2558,464300,0.133743705,0.887056293,83226,1363,0.467161845,1077,1035.0,0.253322909,305.0,40,21,32,21,125,200,308,62.8,1549,0.374154589,1119,1035,77,150,163,289,291,486,204,343,250,116,2558,4140,183,629,535,466,110,97,186,236,661,416,432,70,41,78,501444.00000000006,3.0,-80028.0,None,592.0,false,None
62,53033003100,"Census Tract 31, King County, Washington",Sunset Hill,Seattle,2015,6223,2610,497100,0.168805247,0.8757833840000001,101397,126111,0.374712644,1549,1296.0,0.205363985,34.8,14,65,85,17,0,203,373,66.2,1885,0.40996085299999996,1379,1182,118,51,186,127,191,430,465,261,343,293,2610,4598,219,572,551,530,244,98,230,120,519,550,466,200,164,135,536868.0,8.399999999999991,21276.0,HaveGentrified,199.0,false,NotCurrentlyGentrifying
63,53033003100,"Census Tract 31, King County, Washington",Sunset Hill,Seattle,2010,6159,2608,512300,0.13616526,0.892027927,80167,1619,0.379217791,977,946.0,0.14302147199999998,197.0,70,65,55,10,8,218,597,63.6,1817,0.39337518899999996,1316,1104,64,174,235,177,200,405,331,262,339,132,2608,4619,102,726,443,600,142,65,300,135,544,546,555,155,72,234,553284.0,4.6000000000000085,-20412.0,None,-433.0,false,None
