tract_id,neighborhood,larger_neighborhood,num_college_2000,perc_college_2000,num_grad_deg_2000,perc_grad_deg_2000,perc_bachelor_deg_2010,num_bachelor_deg_2010,num_prof_deg_2010,perc_prof_deg_2010,num_college_masters_PhD_2010,perc_college_masters_PhD_2010,perc_bachelor_deg_2011,num_bachelor_deg_2011,num_prof_deg_2011,perc_prof_deg_2011,num_college_masters_PhD_2011,perc_college_masters_PhD_2011,perc_bachelor_deg_2012,num_bachelor_deg_2012,num_prof_deg_2012,perc_prof_deg_2012,num_college_masters_PhD_2012,perc_college_masters_PhD_2012,perc_bachelor_deg_2013,num_bachelor_deg_2013,num_prof_deg_2013,perc_prof_deg_2013,num_college_masters_PhD_2013,perc_college_masters_PhD_2013,perc_bachelor_deg_2014,num_bachelor_deg_2014,num_prof_deg_2014,perc_prof_deg_2014,num_college_masters_PhD_2014,perc_college_masters_PhD_2014,perc_bachelor_deg_2015,num_bachelor_deg_2015,num_prof_deg_2015,perc_prof_deg_2015,num_college_masters_PhD_2015,perc_college_masters_PhD_2015,perc_bachelor_deg_2016,num_bachelor_deg_2016,num_prof_deg_2016,perc_prof_deg_2016,num_college_masters_PhD_2016,perc_college_masters_PhD_2016,num_bachelor_deg_2017,perc_bachelor_deg_2017,"# Education Attainment,prof_deg_2017","% Education Attainment,prof_deg_2017",num_college_masters_PhD_2017,perc_college_masters_PhD_2017
530330006001,Haller Lake,Northgate,184,19.7213,106,11.3612,21.9298,225,31,3.0214,305,29.7271,22.1163,232,31,2.9552,314,29.9333,22.2652,230,15,1.4521,304,29.4288,26.5896,276,28,2.6975,366,35.2601,27.5255,297,7,0.6487,397,36.7933,28.2569,308,6,0.5505,409,37.5229,28.3906,314,6,0.5425,417,37.7034,323,28.6348,7,0.6206,430,38.1206
530330006002,Pinehurst,Northgate,176,17.5124,79,7.8607,28.8708,248,0,0,341,39.6973,29.1569,249,0,0,342,40.0468,25.6608,233,0,0,315,34.6916,34.3882,326,0,0,380,40.0844,34.7107,336,13,1.343,360,37.1901,35.5072,343,13,1.3458,367,37.9917,35.8224,355,13,1.3118,380,38.3451,375,36.4078,15,1.4563,401,38.932
530330006003,Haller Lake,Northgate,243,26.6447,186,20.3947,18.9623,201,80,7.5472,263,24.8113,19.2164,206,81,7.556,269,25.0933,20.3065,212,62,5.9387,298,28.5441,26.9411,288,64,5.9869,393,36.7633,29.5067,329,11,0.9865,434,38.9238,30.393,348,10,0.8734,458,40,30.2586,351,10,0.8621,463,39.9138,365,30.8799,11,0.9306,480,40.6091
530330006004,North College Park,Northgate,352,37.2487,136,14.3915,32.1582,374,38,3.2674,488,41.9604,32.2581,380,39,3.3107,497,42.1902,32.4623,323,41,4.1206,491,49.3467,26.699,275,34,3.301,447,43.3981,21.9012,235,34,3.1687,372,34.6692,22.4863,246,33,3.0165,388,35.4662,22.7232,252,33,2.9757,396,35.7078,259,22.7792,36,3.1662,410,36.0598
530330006005,Haller Lake,Northgate,128,21.3333,65,10.8333,47.9199,311,35,5.3929,323,49.7689,48.2549,318,36,5.4628,330,50.0759,30.6931,186,35,5.7756,201,33.1683,40.1961,246,15,2.451,246,40.1961,30.9148,196,21,3.3123,238,37.5394,31.5133,202,22,3.4321,246,38.3775,31.7684,203,22,3.4429,247,38.6541,214,32.3752,23,3.4796,259,39.1831
530330006006,Pinehurst,Northgate,271,32.8485,183,22.1818,21.6634,224,12,1.1605,330,31.9149,21.8456,232,12,1.1299,343,32.2976,27.9094,271,16,1.6478,376,38.723,29.1624,282,45,4.6536,364,37.6422,23.1,231,57,5.7,390,39,23.6166,239,56,5.5336,401,39.6245,24.0196,245,57,5.5882,409,40.098,251,24.0421,60,5.7471,422,40.4215
530330007001,Meadowbrook,Lake City,200,19.4363,159,15.4519,21.8635,237,78,7.1956,372,34.3173,21.8924,236,79,7.3284,371,34.4156,22.9185,267,74,6.3519,425,36.4807,26.0217,312,53,4.4204,413,34.4454,31.3164,383,58,4.7424,516,42.1913,31.6087,391,59,4.7696,527,42.6031,31.8182,392,58,4.7078,526,42.6948,416,32.3484,62,4.8212,558,43.3904
530330007002,Matthews Beach,Lake City,237,30.5806,135,17.4194,39.6407,331,0,0,436,52.2156,39.7421,339,0,0,448,52.5205,40.1442,334,0,0,489,58.774,35.8491,304,42,4.9528,431,50.8255,37.6,329,56,6.4,473,54.0571,38.3501,344,58,6.466,493,54.961,38.5451,355,59,6.4061,508,55.1574,367,38.836,62,6.5608,526,55.6614
530330007003,Pinehurst,Northgate,164,28.1787,40,6.8729,41.2817,277,25,3.7258,403,60.0596,41.4414,276,25,3.7538,403,60.5105,38.806,260,28,4.1791,400,59.7015,35.5301,248,27,3.8682,406,58.1662,35.4254,254,16,2.2315,419,58.4379,35.5153,255,17,2.3677,422,58.7744,35.7143,265,18,2.4259,437,58.8949,270,35.809,19,2.5199,446,59.1512
530330007004,Pinehurst,Northgate,194,29.6636,98,14.9847,19.0934,139,71,9.7528,282,38.7363,19.2513,144,72,9.6257,291,38.9037,16.4464,112,75,11.0132,269,39.5007,24.5014,172,37,5.2707,334,47.5783,27.0308,193,77,10.7843,334,46.7787,27.8322,199,78,10.9091,339,47.4126,27.8003,206,80,10.7962,352,47.5034,212,27.9683,84,11.0818,363,47.8892
