Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330017022,Whittier Heights,Ballard,BG0017022,1024,65512,365185,28.82,729,4.78,79.79,482,26.02,0,17.01,9.46,3.44,21.94,795,2010
530330017023,Greenwood,Seattle,BG0017023,1004,73197,424561,22.25,767,28.57,73.61,408,68.8,15.44,39.95,9.46,3.58,34.68,793,2010
530330017024,Greenwood,Seattle,BG0017024,884,63710,371753,33.95,1375,12.4,71.95,384,16.31,0,0,9.63,3.48,13.99,793,2010
530330018001,Green Lake,Seattle,BG0018001,1490,79816,406667,50,971,19.46,65.91,666,55.31,0,18.47,6.97,1.58,38.96,793,2010
530330018002,Green Lake,Seattle,BG0018002,1499,72372,341718,37.93,930,17.13,70.85,789,70.66,14.32,34.6,7.13,1.48,44.5,790,2010
530330018003,North College Park,Northgate,BG0018003,1546,66361,350962,43.76,886,30.74,67.85,837,67.59,4.3,35.6,7.09,1.57,17.52,781,2010
530330019001,Maple Leaf,Northgate,BG0019001,1529,60298,278797,37.32,865,15.63,60.17,1132,29.1,3.09,54.95,9.49,3.95,24.54,777,2010
530330019002,Roosevelt,Seattle,BG0019002,1362,77524,421472,41.1,911,15.25,78.85,578,27.37,5.54,12.11,9.3,3.94,36.18,774,2010
530330019003,Roosevelt,Seattle,BG0019003,1266,71489,375000,34.82,1538,15.92,79.54,538,29.09,1.3,19.89,9.44,4.05,25.29,774,2010
530330020001,Roosevelt,Seattle,BG0020001,1514,74512,416184,33.39,940,17.31,77.01,806,29.66,0,27.79,8.84,3.4,31.84,772,2010
530330020002,Maple Leaf,Northgate,BG0020002,980,68160,380519,45.44,944,16.67,78.67,457,28.77,0,10.28,8.9,3.2,30.77,771,2010
530330020003,Maple Leaf,Northgate,BG0020003,912,97240,405785,45.27,1352,13.81,84.43,416,12.91,1.92,11.06,8.86,3.29,38.56,769,2010
530330021001,Matthews Beach,Lake City,BG0021001,1506,85636,430827,42.37,1289,13.74,84.53,659,11.29,0,9.1,16.38,3.02,45.45,768,2010
530330021002,Maple Leaf,Northgate,BG0021002,897,68207,369014,34.04,723,17.84,75.36,427,32.68,2.11,41.22,16.34,2.93,42.73,765,2010
530330021003,Maple Leaf,Northgate,BG0021003,1404,73796,396277,37.11,863,22.77,71.15,684,37.25,9.06,18.57,16.28,2.97,24.36,764,2010
530330022001,Matthews Beach,Lake City,BG0022001,1485,128175,590210,32.26,1601,9.82,81.68,606,10.07,0,1.65,15.53,1.02,44.42,763,2010
530330022002,Matthews Beach,Lake City,BG0022002,1416,88571,436842,29.13,1371,15.79,79.73,591,25.09,0,0,15.41,1.08,25.06,762,2010
530330022003,Sand Point,Seattle,BG0022003,1255,117188,622093,33.02,1015,4.65,78.25,553,13.41,0,1.09,15.33,1.15,34.55,760,2010
530330022004,Sand Point,Seattle,BG0022004,1130,122426,801768,38.59,1109,10.39,84.16,521,13.76,0,19.96,15.48,1.08,38.03,760,2010
530330024001,View Ridge,Seattle,BG0024001,959,82843,526724,45.12,1435,15.07,86.34,398,21.61,0,0,6.77,4.69,37.63,760,2010
530330024002,Bryant,Seattle,BG0024002,811,71272,476471,46.24,896,24.07,76.08,396,61.15,9.34,48.74,6.82,4.72,43.22,757,2010
530330024003,Ravenna,Seattle,BG0024003,1202,113949,457241,34.38,1642,15.74,82.61,500,12.32,0,2.6,6.68,4.8,44.29,756,2010
530330025001,Roosevelt,Seattle,BG0025001,1404,105435,468598,51.77,1263,19.37,79.13,626,12.88,0,0,15.05,5.35,40.51,755,2010
530330025002,Roosevelt,Seattle,BG0025002,1398,101689,467925,39.03,1264,29.78,81.97,674,41.27,7.57,9.35,14.99,5.26,44.25,751,2010
530330026001,Roosevelt,Seattle,BG0026001,1054,84722,460305,45.34,944,27.56,81.69,477,46.46,0,22.64,7.08,2.21,53.75,743,2010
530330026002,Roosevelt,Seattle,BG0026002,1294,132031,561484,47.71,1188,26.78,86.94,538,17.27,1.12,0.93,7.1,2.11,33.79,742,2010
530330026003,Roosevelt,Seattle,BG0026003,1333,94037,485593,46.15,1139,15.27,78.17,625,32.58,0.64,24.96,6.79,1.92,46.21,742,2010
530330026004,Roosevelt,Seattle,BG0026004,979,114183,499083,34.44,1057,15.6,79.98,412,11.96,9.95,0.73,6.87,2.04,47.73,736,2010
530330027001,Roosevelt,Seattle,BG0027001,1426,83367,441353,39.89,1102,27.61,83.87,635,36.82,0,28.82,9.17,3.6,15.61,736,2010
530330027002,Green Lake,Seattle,BG0027002,1340,113315,524784,43.31,1193,14.45,82.54,576,10.58,0.87,0,8.72,3.71,40.37,735,2010
530330027003,Green Lake,Seattle,BG0027003,1084,79583,646000,29.76,1192,20.32,81.92,521,42.68,9.41,26.3,8.79,3.77,35.71,730,2010
530330027004,Green Lake,Seattle,BG0027004,1439,97601,541244,37.59,1292,9.15,81.31,676,27.03,7.1,15.24,8.59,3.66,27.9,730,2010
530330028001,Green Lake,Seattle,BG0028001,1189,74277,474000,44.8,1047,16.4,84.86,563,29.65,2.31,12.79,14.55,1.11,45.27,727,2010
530330028002,Green Lake,Seattle,BG0028002,896,70486,487662,42.8,975,16.09,83.48,457,27.04,1.75,11.16,14.69,1.17,48.69,726,2010
530330028003,Green Lake,Seattle,BG0028003,985,85307,462037,46.49,1154,31.3,83.05,551,59.96,5.44,37.75,14.51,1.55,9.03,722,2010
530330028004,Green Lake,Seattle,BG0028004,1411,91168,436555,51.8,1286,18.28,77.53,658,40.32,4.71,17.02,14.56,1.12,36.21,719,2010
530330029001,Whittier Heights,Ballard,BG0029001,1393,78875,442750,27.15,649,13.79,83.49,650,31.66,1.08,32.46,8.08,2.91,27.83,718,2010
530330029002,Greenwood,Seattle,BG0029002,1416,114224,533154,40.11,1367,7.79,87.99,645,15.84,0,1.71,8,3.04,58.84,718,2010
530330029003,Whittier Heights,Ballard,BG0029003,1368,102539,450282,40.37,1156,18.6,84.36,628,28.21,0.64,17.68,8.18,3.17,42.43,715,2010
530330030001,Whittier Heights,Ballard,BG0030001,1604,93932,448519,47.19,1129,12.43,85.66,710,16.14,2.11,0,10.52,0.86,39.34,714,2010
530330030002,Whittier Heights,Ballard,BG0030002,1332,79974,438835,31.79,1270,13.37,83.18,594,32.05,5.56,6.4,10.16,1.05,40.54,713,2010
530330030003,Whittier Heights,Ballard,BG0030003,1407,81926,467296,36.77,912,16.65,86.64,624,33.56,7.53,11.54,10.35,0.83,36.18,712,2010
530330030004,Whittier Heights,Ballard,BG0030004,1294,88542,465847,40.02,1092,10.26,83.38,574,21.73,3.14,4.88,10.5,0.92,56.92,711,2010
