Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0116004, King County, WA",1063,102941,460396,30.1607,1361,10.5263,78.0809,487,25.4945,0,0,11.8681,3.0769,34.386,366,2014,,,,,,,,,,
"BG0116005, King County, WA",896,138830,574324,33.3333,881,13.4122,84.0402,477,38.565,0,15.304,11.6592,3.3632,35.9813,373,2014,,,,,,,,,,
"BG0116006, King County, WA",1245,91053,540179,26.7068,952,19.6051,87.7912,620,49.4845,18.5484,18.3871,11.8557,3.0928,31.7343,359,2014,,,,,,,,,,
"BG0117001, King County, WA",1628,39719,319512,19.8864,1068,12.2759,8.0467,514,50.3055,17.7043,1.5564,20.3666,13.442,30.3835,370,2014,,,,,,,,,,
"BG0117002, King County, WA",1647,57110,278889,14.5161,907,19.6501,11.1718,502,27.3504,0,0,20.5128,13.2479,29.805,370,2014,,,,,,,,,,
"BG0117003, King County, WA",1440,72154,364286,15.8273,856,23.0183,10.6944,470,28.9532,1.4894,0,20.49,13.363,30.7918,357,2014,,,,,,,,,,
"BG0117004, King County, WA",1222,65667,266667,15.5875,1682,0,11.8658,363,18.9655,0,0,20.6897,13.5057,31.9149,357,2014,,,,,,,,,,
"BG0118001, King County, WA",838,82595,423611,29.5252,951,4.8837,53.9379,465,24.2131,1.5054,37.2043,8.7167,5.0848,27.1795,364,2014,,,,,,,,,,
"BG0118002, King County, WA",957,45278,284375,27.0504,936,17.4292,38.2445,424,37.1007,0,13.9151,9.0909,5.4054,29.0043,350,2014,,,,,,,,,,
"BG0118003, King County, WA",1144,66842,275806,27.1638,1750,21.4015,18.7063,393,35.0267,0,0,8.8235,5.0802,25.1938,348,2014,,,,,,,,,,
"BG0118004, King County, WA",1174,14181,246667,4.0104,587,40.2597,10.2215,520,80.6236,22.5,32.6924,8.686,5.3452,19.5918,337,2014,,,,,,,,,,
"BG0118005, King County, WA",1345,75000,278947,15.4535,921,21.1632,7.658,416,39.1192,4.3269,9.375,9.0674,5.4404,30.0353,336,2014,,,,,,,,,,
"BG0118006, King County, WA",2347,52841,361842,5.544,801,16.2239,8.3937,873,80.025,14.8912,56.1282,8.8639,5.2435,31.569,326,2014,,,,,,,,,,
"BG0119001, King County, WA",1433,71429,324638,40.4896,921,18.4685,37.2645,602,21.982,0,2.8239,25.2252,4.1441,27.5281,325,2014,,,,,,,,,,
"BG0119002, King County, WA",1561,65179,272785,29.58,862,7.7356,31.5183,626,21.2521,0,0,25.2059,4.2834,24.6114,311,2014,,,,,,,,,,
"BG0119003, King County, WA",1332,101000,358940,23.0769,683,4.3993,16.0661,463,22.2222,0,12.527,25.463,3.9352,33.8509,316,2014,,,,,,,,,,
"BG0119004, King County, WA",1612,66243,234146,14.6026,1273,2.0718,16.1911,510,28.8066,0,0,25.3086,4.1152,29.7297,310,2014,,,,,,,,,,
"BG0119005, King County, WA",1668,77481,256757,21.6682,1526,7.0081,17.3261,545,30.3502,12.1101,0,25.2918,4.0856,30.0546,291,2014,,,,,,,,,,
"BG0120001, King County, WA",1160,75240,304094,23.3065,1154,12.234,71.3793,577,24.4485,0,6.5858,19.8529,2.7574,34.8592,257,2014,,,,,,,,,,
"BG0120002, King County, WA",1266,93687,339806,30.6538,1261,7.1517,79.6998,536,16.1228,0,0,19.7697,2.6871,34.0237,202,2014,,,,,,,,,,
"BG0120003, King County, WA",1179,91484,366337,34.3148,1438,9.8404,77.1841,517,19.2698,0,4.2553,19.6755,2.6369,36.7213,202,2014,,,,,,,,,,
"BG0121001, King County, WA",1213,116429,568182,33.9603,1750,3.5276,84.6661,596,14.9362,0,19.6308,16.3934,4.1894,27.2206,188,2014,,,,,,,,,,
"BG0121002, King County, WA",1637,100562,378440,26.2945,1401,4.1379,79.1692,714,14.556,0,1.6807,16.3028,3.9301,31.47,174,2014,,,,,,,,,,
"BG0260011, King County, WA",1327,110616,341111,35.2705,1138,0,38.8093,543,18.3398,0,0,23.3591,10.2317,26.5861,146,2014,,,,,,,,,,
"BG0264004, King County, WA",1438,61975,264732,16.715,1064,1.9943,50.0695,709,50.7622,6.7701,49.2243,10.5183,3.2012,20.0581,15,2014,,,,,,,,,,
"BG0265001, King County, WA",568,57979,243243,4.0431,571,0,37.5,237,60.396,0,2.1097,12.8713,3.9604,26.1194,2,2014,,,,,,,,,,
"BG9901000, King County, WA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,,,,,,,,,,
"BG0001001, King County, WA",1361,134409,497222,40.9479,1633,10.3311,74.2836,612,17.3913,0,0,8.1739,0.8696,28.084,1820,2015,,,,,,,,,,
"BG0001002, King County, WA",1331,29301,306250,27.8204,824,29.0191,40.2705,705,84.7962,7.8014,59.7163,8.1505,0.9404,26.4901,1722,2015,,,,,,,,,,
"BG0001003, King County, WA",1445,60544,420000,31.5257,784,15.2439,53.9792,800,68.9424,17.875,41.375,8.166,0.9371,26.9231,1551,2015,,,,,,,,,,
"BG0001004, King County, WA",1634,32153,1000000,11.491,676,23.9766,31.3341,911,94.2993,3.4029,74.0944,8.076,0.8314,24.8408,1444,2015,,,,,,,,,,
"BG0001005, King County, WA",1025,49677,322222,32.0375,949,25.5591,51.8049,689,90.9385,0,76.6328,8.0906,0.8091,16.7785,1416,2015,,,,,,,,,,
"BG0002001, King County, WA",1174,82534,351337,36.9767,880,16.609,57.0698,490,29.3103,10,3.6735,9.6983,1.2931,31.9298,1386,2015,,,,,,,,,,
"BG0002002, King County, WA",1466,40333,372593,29.9522,796,12.5168,50.8186,633,49.5798,0,35.071,9.7479,1.1765,28.7709,1327,2015,,,,,,,,,,
"BG0002003, King County, WA",1644,62816,248696,33.7748,888,31.2925,55.7786,896,73.678,4.6875,67.8571,9.6357,1.1751,25,1311,2015,,,,,,,,,,
"BG0002004, King County, WA",1136,58640,311724,32.3693,1033,7.0957,62.8521,619,43.4932,2.9079,50.7269,9.7603,1.3699,21.6117,1299,2015,,,,,,,,,,
"BG0002005, King County, WA",1408,49375,284483,36.1413,897,8.3551,61.7188,741,49.7191,7.9622,42.3751,9.691,1.1236,26.1006,1228,2015,,,,,,,,,,
"BG0002006, King County, WA",1415,104044,363054,40.8582,1750,14.2061,68.1272,594,25.1761,0,2.862,9.8592,1.2324,31.6354,1208,2015,,,,,,,,,,
"BG0003001, King County, WA",1376,70833,336596,30.185,1329,17.3913,64.6076,553,28.5981,0,5.6058,11.028,3.9252,33.913,1166,2015,,,,,,,,,,
"BG0003002, King County, WA",1466,82037,302874,18.1058,975,13.7975,56.0709,708,43.2061,4.096,13.4181,11.145,3.9695,29.4798,1195,2015,,,,,,,,,,
"BG0004011, King County, WA",3113,35055,291667,20.9932,877,7.8589,48.6026,2084,80.1974,1.6315,63.2917,6.5621,0.5226,24.2525,1187,2015,,,,,,,,,,
"BG0004012, King County, WA",1546,84677,362500,27.1201,949,11.8699,61.837,766,59.2437,2.3499,38.2507,6.7227,0.5602,30.1775,1147,2015,,,,,,,,,,
"BG0004013, King County, WA",1374,26791,258974,23.2013,410,18.5811,71.6157,1140,70.1232,0,72.0175,6.5708,0.5133,17.0732,1175,2015,,,,,,,,,,
"BG0004021, King County, WA",1311,44286,337719,32.4478,913,10.3448,70.5568,612,65.5594,0,43.1372,6.2937,1.2238,27.4194,1143,2015,,,,,,,,,,
"BG0004022, King County, WA",1025,60938,303797,45.4068,964,19.5918,63.3171,469,42.2819,0,20.6822,6.264,1.3423,26.087,1136,2015,,,,,,,,,,
"BG0004023, King County, WA",1296,57216,422340,42.1053,952,18.1388,63.6574,660,50.7987,5.6061,46.3636,6.23,1.4377,30.2013,1135,2015,,,,,,,,,,
"BG0004024, King County, WA",1598,58387,359524,30.4412,1060,14.3038,84.1677,904,64.8148,0,56.5265,6.25,1.3889,24.3402,1121,2015,,,,,,,,,,
"BG0005001, King County, WA",1330,158228,636150,41.3894,1500,4.7619,86.391,558,7.0501,0,0,25.2319,7.2356,32.7411,1115,2015,,,,,,,,,,
"BG0005002, King County, WA",944,116429,550987,44.9591,1179,16.2291,81.1441,400,10.2828,0,0,25.1928,6.9409,32.491,1067,2015,,,,,,,,,,
"BG0005003, King County, WA",1143,98214,504098,30.3241,1160,10.1796,84.252,492,6.681,0,0,25,7.3276,35.5422,1088,2015,,,,,,,,,,
"BG0006001, King County, WA",1522,60560,333846,28.2569,839,8.5366,58.6071,597,28.6942,0,16.918,7.9038,3.6082,31.4433,1060,2015,,,,,,,,,,
"BG0006002, King County, WA",1246,41643,278000,35.5072,935,27.2189,54.8957,672,71.6301,0,76.7858,7.9937,3.4483,23.3716,1043,2015,,,,,,,,,,
"BG0006003, King County, WA",1549,56944,306557,30.393,979,19.6386,63.0084,728,40.6295,0,24.7253,8.0114,3.2904,26.9129,1040,2015,,,,,,,,,,
"BG0006004, King County, WA",1672,84140,357055,22.4863,1065,22.8637,48.6244,785,52.5692,1.6561,23.5669,7.9051,3.2938,25.1969,1039,2015,,,,,,,,,,
"BG0006005, King County, WA",867,106061,382727,31.5133,1108,14.5022,63.5525,334,25.4717,0,0,7.8616,3.4591,31.6038,1027,2015,,,,,,,,,,
"BG0006006, King County, WA",1379,82895,319672,23.6166,1029,12.7027,50.8339,688,48.9431,10.3198,40.9884,7.8049,3.4146,30,1023,2015,,,,,,,,,,
"BG0007001, King County, WA",1691,49434,309091,31.6087,865,30.4033,43.0514,985,78.4753,6.1929,62.4366,8.7444,3.139,24.3323,1026,2015,,,,,,,,,,
"BG0007002, King County, WA",1226,52320,294521,38.3501,812,33.913,56.2806,587,57.885,4.5997,25.724,8.7199,3.154,28.6245,1009,2015,,,,,,,,,,
"BG0007003, King County, WA",927,93651,338298,35.5153,1233,18.83,63.5383,451,35.6643,0,30.1552,8.6247,3.0303,22.7848,1009,2015,,,,,,,,,,
"BG0007004, King County, WA",942,82447,359559,27.8322,1276,16.4461,66.0297,436,39.2857,3.6697,6.8808,8.8095,3.3333,26.7241,1006,2015,,,,,,,,,,
"BG0008001, King County, WA",1275,72877,372152,19.2473,895,15.486,66.5882,547,30.7393,0,7.4954,10.5058,9.7276,33.5484,997,2015,,,,,,,,,,
"BG0008002, King County, WA",1525,84706,395954,33.6007,1318,17.036,75.3443,628,22.6974,0,7.6433,10.5263,9.7039,35.6061,981,2015,,,,,,,,,,
"BG0009001, King County, WA",1179,96959,531065,35.512,1250,17.9572,77.9474,514,17.0124,0,5.8366,21.1618,4.3568,32.4159,974,2015,,,,,,,,,,
"BG0009002, King County, WA",1002,128571,672840,26.4201,1429,14.5914,78.2435,459,18.7648,0,0,20.9026,4.2755,34.1379,969,2015,,,,,,,,,,
"BG0010001, King County, WA",974,81928,364865,16.4297,1000,13.8075,52.8747,411,54.0609,10.4623,16.5449,8.6294,3.8071,36.1607,967,2015,,,,,,,,,,
"BG0010002, King County, WA",1118,80859,420779,32.3604,1122,21.1191,69.0519,451,30.8585,1.7738,18.847,8.8167,3.9443,42.7046,949,2015,,,,,,,,,,
"BG0011001, King County, WA",1320,90517,504491,39.0947,814,13.0319,63.1818,623,42.8322,0,19.7432,3.3217,4.7203,31.0976,949,2015,,,,,,,,,,
"BG0011002, King County, WA",1369,96642,389933,26.5655,995,22.973,72.0234,593,33.157,1.5177,15.5143,3.351,4.7619,31.4465,959,2015,,,,,,,,,,
"BG0012001, King County, WA",1363,83125,380000,29.0196,1044,18.75,69.4791,584,31.4748,0,15.9247,3.9568,0.3597,33.7278,953,2015,,,,,,,,,,
"BG0012002, King County, WA",1254,52155,390000,15.7831,864,36.3489,52.8708,605,79.3706,2.1488,59.1735,3.8462,0.5245,30.2239,946,2015,,,,,,,,,,
"BG0012003, King County, WA",1476,33699,186290,30.2676,848,28.1746,59.6206,1089,85.0347,0,86.2258,3.667,0.2973,17.9487,932,2015,,,,,,,,,,
"BG0012004, King County, WA",1326,40260,200000,31.8693,983,21.0046,40.0452,733,89.5197,7.2306,74.4885,3.9301,0.4367,22.5564,939,2015,,,,,,,,,,
"BG0012005, King County, WA",1660,30826,209890,30.9125,936,12.4697,44.759,981,83.9779,2.6504,80.9378,3.8674,0.442,18.3333,938,2015,,,,,,,,,,
"BG0013001, King County, WA",1741,58969,302143,28.1546,981,20.308,60.8845,944,55.7823,5.6144,33.2627,6.0091,0.907,22.9692,932,2015,,,,,,,,,,
"BG0013002, King County, WA",1490,56845,264754,13.4615,785,25.2283,45.1007,740,67.3882,1.4865,49.1892,5.772,1.0101,21.3333,919,2015,,,,,,,,,,
"BG0013003, King County, WA",1519,54698,333735,41.7029,936,11.4191,57.9987,805,72.2589,1.2422,54.7826,5.9445,0.9247,25.7525,917,2015,,,,,,,,,,
"BG0014001, King County, WA",1167,70930,345255,36.7728,938,5.0072,73.7789,583,44.403,2.0583,33.6192,13.6194,2.2388,26.2069,926,2015,,,,,,,,,,
"BG0014002, King County, WA",1141,78779,391406,36.7946,1008,17.4672,75.3725,548,46.063,0,25.1825,13.7795,2.1654,31.6017,910,2015,,,,,,,,,,
"BG0014003, King County, WA",1489,54959,294531,25.8888,1020,14.4354,62.7938,731,62.4467,2.3256,30.3693,13.6558,2.4182,25.1534,896,2015,,,,,,,,,,
"BG0014004, King County, WA",1443,125935,420946,29.6571,1474,14.1615,84.2689,623,18.7396,0,0,13.7645,2.4876,38.9873,917,2015,,,,,,,,,,
"BG0015001, King County, WA",1303,117982,545573,46.6934,1669,1.1478,88.7183,581,19.7487,0,2.2375,14.0036,2.5135,37.0787,898,2015,,,,,,,,,,
"BG0015002, King County, WA",1359,119521,592233,36.2865,1095,4.3185,87.9323,635,20.7921,0,1.2598,14.0264,2.4752,33.7766,903,2015,,,,,,,,,,
"BG0016001, King County, WA",1488,102679,754545,36.682,1800,9.6774,90.121,612,8.2631,0,0,12.6476,3.5413,38.9401,905,2015,,,,,,,,,,
"BG0016002, King County, WA",1456,112500,666129,27.9452,1813,8.9051,84.272,614,9.5798,0,0,12.605,3.5294,38.1517,892,2015,,,,,,,,,,
"BG0016003, King County, WA",1547,80233,356962,37.8608,996,17.5368,68.7783,777,50.8725,3.2175,27.9279,12.4832,3.4899,26.1838,888,2015,,,,,,,,,,
"BG0017011, King County, WA",1734,74394,348571,37.1166,1063,19.7632,56.4591,959,72.8571,0,62.9823,4.9451,1.6484,27.5362,882,2015,,,,,,,,,,
"BG0017012, King County, WA",1218,91463,277941,42.9293,962,9.2875,73.7274,679,42.1875,1.9146,37.997,5,1.875,27.7108,881,2015,,,,,,,,,,
"BG0017013, King County, WA",1205,80529,292857,32.1041,703,20.557,65.5602,584,40.0362,13.8699,38.8699,4.8913,1.8116,33.7302,872,2015,,,,,,,,,,
"BG0017021, King County, WA",1448,58940,370370,36.4355,854,15.7035,65.3315,799,65.2815,1.2516,44.4306,11.3941,2.9491,27.3616,864,2015,,,,,,,,,,
"BG0017022, King County, WA",1114,64362,344898,36.1894,1267,13.289,75.8528,523,33.3992,0,6.8834,11.6601,3.1621,28.7402,870,2015,,,,,,,,,,
"BG0017023, King County, WA",1072,71649,387129,18.1818,891,28.988,70.1493,437,41.9048,8.4668,25.4005,11.4286,3.0952,25.4464,843,2015,,,,,,,,,,
"BG0017024, King County, WA",959,68750,368613,31.5864,721,2.9762,67.8832,416,26.601,3.8462,0,11.8227,3.202,30.8036,867,2015,,,,,,,,,,
"BG0018001, King County, WA",1617,85784,394578,42.2067,1103,9.1752,61.3482,720,43.3577,5.6944,10.9722,7.4453,3.2117,28.3537,868,2015,,,,,,,,,,
"BG0018002, King County, WA",1641,92073,329752,33.758,1076,19.5904,66.7885,860,58.3538,10.1163,37.3256,7.4939,3.1941,23.4043,850,2015,,,,,,,,,,
"BG0018003, King County, WA",1672,90469,327329,51.2234,988,28.8106,63.6962,899,56.6748,8.3426,23.5818,7.5243,3.1553,23.8671,851,2015,,,,,,,,,,
"BG0019001, King County, WA",1670,53829,257619,38.5621,1169,24.6822,55.8084,1209,57.8829,2.1505,58.5608,4.3919,2.9279,23.6025,826,2015,,,,,,,,,,
"BG0019002, King County, WA",1479,95000,440909,35.2886,1300,12.6005,75.9973,628,28.5714,7.1656,2.8662,4.4335,3.1199,37.6731,842,2015,,,,,,,,,,
"BG0019003, King County, WA",1354,94086,398193,30.8605,1747,17.0183,76.7356,574,25.5856,0,0,4.6847,2.8829,35.3312,847,2015,,,,,,,,,,
"BG0020001, King County, WA",1648,68542,398621,40.3831,1161,21.0471,73.7257,871,47.375,0,35.2468,7.875,2,37.092,845,2015,,,,,,,,,,
"BG0020002, King County, WA",1060,77365,422535,34.3247,979,12.812,75.283,493,31.6456,5.4767,11.9676,8.2278,1.8987,33.5821,840,2015,,,,,,,,,,
"BG0020003, King County, WA",980,96203,412500,46.3748,1330,25.7036,81.5306,446,29.8824,0,10.7623,8,1.8824,44.0678,842,2015,,,,,,,,,,
"BG0021001, King County, WA",1635,115441,467234,30.6612,1078,13.5103,81.7737,713,20.937,0,6.3114,16.3982,3.2211,41.3395,841,2015,,,,,,,,,,
"BG0021002, King County, WA",971,92819,331429,43.1345,1009,16.6667,71.7817,462,37.7528,7.5758,27.4892,16.1798,3.5955,32.8767,838,2015,,,,,,,,,,
"BG0021003, King County, WA",1534,89679,404110,37.8546,982,28.2555,67.4055,743,43.553,2.0188,12.2477,16.3324,3.1519,35.0975,832,2015,,,,,,,,,,
"BG0022001, King County, WA",1606,107971,510116,38.3838,1467,10.8609,78.5803,654,15.2997,0,4.5872,16.877,3.3123,37.2845,835,2015,,,,,,,,,,
"BG0022002, King County, WA",1535,105769,436449,29.6533,1534,19.1429,76.7427,638,22.4793,0,0,16.8595,3.3058,40.5467,824,2015,,,,,,,,,,
"BG0022003, King County, WA",1351,146983,526730,28.3927,1657,11.7284,74.9075,593,21.7082,0,1.5177,16.9039,3.3808,32.4397,831,2015,,,,,,,,,,
"BG0022004, King County, WA",1201,119643,817241,38.2675,1500,13.0282,81.8485,550,5.668,0,22.9091,16.8016,3.4413,32.8841,819,2015,,,,,,,,,,
"BG0024001, King County, WA",1036,106944,483505,35.1902,1441,15.1402,83.9768,429,15.9036,0,0,14.2169,3.6145,44.7552,808,2015,,,,,,,,,,
"BG0024002, King County, WA",877,75610,483871,31.4145,954,18.4959,72.2919,427,65.0485,17.096,29.5082,14.0777,3.6408,32.3944,830,2015,,,,,,,,,,
"BG0024003, King County, WA",1292,111957,477698,33.658,1413,20.7965,79.7988,536,27.3786,0,1.4925,14.1748,3.4951,44.8071,808,2015,,,,,,,,,,
"BG0025001, King County, WA",1517,121581,457732,44.4543,1321,24.8337,76.0053,674,19.8142,0,0,8.8235,4.1796,42.8928,823,2015,,,,,,,,,,
"BG0025002, King County, WA",1517,100490,459509,42.6025,1408,19.73,79.2353,729,46.8661,5.2126,15.6379,8.9744,3.9886,35.8209,822,2015,,,,,,,,,,
"BG0026001, King County, WA",1138,92727,476389,37.201,1142,27.7372,79.2619,513,42.623,1.7544,23.7817,14.959,3.0738,41.9708,814,2015,,,,,,,,,,
"BG0026002, King County, WA",1388,128077,574353,43.8716,1013,29.8578,84.5821,576,22.0036,1.5625,11.632,15.0268,3.22,37.6374,794,2015,,,,,,,,,,
"BG0026003, King County, WA",1445,123462,454167,38.9372,1108,24.4395,74.8097,673,43.5691,1.6345,20.951,14.9518,3.0547,42.1405,808,2015,,,,,,,,,,
"BG0026004, King County, WA",1061,111923,483019,40.6548,1432,15.6495,77.2856,445,32.1596,11.4607,1.1236,14.7887,3.2864,43.8525,802,2015,,,,,,,,,,
"BG0027001, King County, WA",1536,84946,453535,38.0577,1288,25.7081,81.3802,682,34.1945,2.346,15.8358,12.9179,1.2158,36.7816,798,2015,,,,,,,,,,
"BG0027002, King County, WA",1450,138542,588670,54.4199,1391,12.4855,79.6552,620,27.1012,0,0,13.036,1.3722,35.0575,800,2015,,,,,,,,,,
"BG0027003, King County, WA",1173,98780,506944,35.8779,1455,14.0303,79.2839,560,42.3598,3.3929,18.2143,12.9594,1.354,34.6457,800,2015,,,,,,,,,,
"BG0027004, King County, WA",1558,128395,498485,39.7757,1181,25.2137,78.4981,728,42.1439,0,24.4505,12.9222,1.1747,36.5031,795,2015,,,,,,,,,,
"BG0028001, King County, WA",1284,110000,467010,43.75,1309,16.4751,82.9439,607,31.1755,5.4366,8.2372,9.7104,1.3629,35.9862,781,2015,,,,,,,,,,
"BG0028002, King County, WA",963,59813,468966,36.255,993,21.6807,81.8276,489,52.7115,10.8384,7.1575,9.5445,1.3015,34.1121,792,2015,,,,,,,,,,
"BG0028003, King County, WA",1071,63356,425000,54.9133,1278,24.6637,81.4192,596,55.8719,13.4228,33.3892,9.6085,1.2456,33.1818,778,2015,,,,,,,,,,
"BG0028004, King County, WA",1544,92727,411000,46.383,1364,26.5217,76.4896,717,39.7661,2.2315,20.5021,9.5029,1.6082,37.535,767,2015,,,,,,,,,,
"BG0029001, King County, WA",1510,83333,406716,30.0347,996,27.9822,82.7815,702,39.1952,0,29.6296,9.687,1.3413,37.1191,784,2015,,,,,,,,,,
"BG0029002, King County, WA",1532,117529,495604,41.041,1121,9.8286,86.423,696,28.8462,3.4483,4.023,9.7633,1.3314,43.2292,767,2015,,,,,,,,,,
"BG0029003, King County, WA",1480,128125,427473,44.3656,1125,21.6216,83.2432,677,28.5494,0,11.226,9.5679,1.2346,42.623,759,2015,,,,,,,,,,
"BG0030001, King County, WA",1729,112190,440187,48.5714,1404,15.6784,83.7478,764,21.7914,2.2251,2.8796,9.3583,2.0053,36.9231,763,2015,,,,,,,,,,
"BG0030002, King County, WA",1458,89500,469756,50.4699,1142,10.7711,80.9328,648,35.36,5.5556,5.4013,9.28,1.92,41.8733,767,2015,,,,,,,,,,
"BG0030003, King County, WA",1518,87609,469714,35.5856,1134,17.9487,84.7826,673,27.9321,5.6464,7.578,9.4136,2.0062,40.2597,760,2015,,,,,,,,,,
"BG0030004, King County, WA",1401,117623,446364,40.4692,1113,12.4841,81.2277,619,26.8707,3.231,18.4168,9.3537,1.8707,44.5428,778,2015,,,,,,,,,,
"BG0031001, King County, WA",1221,95455,468902,43.0119,1658,4.9491,85.258,522,21.0216,1.5326,7.6628,16.11,8.4479,36.4706,778,2015,,,,,,,,,,
"BG0031002, King County, WA",1186,94118,436735,44.5055,957,12.4431,87.0152,549,25.5159,0,5.6466,15.9475,8.6304,34.9057,773,2015,,,,,,,,,,
"BG0031003, King County, WA",1398,111364,516369,33.6423,788,27.5126,80.6867,613,41.6944,0,38.336,16.113,8.6379,39.697,771,2015,,,,,,,,,,
"BG0031004, King County, WA",1504,136824,557870,29.0118,1330,10.4089,87.0346,626,18.928,0,0,16.2479,8.7102,41.2195,768,2015,,,,,,,,,,
"BG0031005, King County, WA",1387,119485,562500,43.5728,1419,20.1316,86.2293,621,21.5947,0,2.5765,15.9468,8.804,37.5,759,2015,,,,,,,,,,
"BG0032001, King County, WA",985,83333,444565,39.3484,1070,27.6094,88.1218,499,45.8159,3.6072,43.2866,6.6946,3.5565,34.6667,765,2015,,,,,,,,,,
"BG0032002, King County, WA",1255,69017,354000,25.2485,1022,16.2404,78.5657,735,68.5185,14.8299,31.4286,6.6952,3.5613,23.7069,748,2015,,,,,,,,,,
"BG0032003, King County, WA",1206,77551,390909,52.6316,1114,22.3363,81.8408,773,60.6267,8.1501,43.7257,6.6757,3.5422,27.7778,748,2015,,,,,,,,,,
"BG0032004, King County, WA",1198,48349,619792,45.9245,886,8.6321,85.5593,804,80.704,4.4776,53.2337,6.6493,3.5202,34,741,2015,,,,,,,,,,
"BG0032005, King County, WA",785,108088,497222,44.1077,1660,26.0579,85.8599,354,21.3018,0,15.2543,6.8047,3.8462,39.7129,747,2015,,,,,,,,,,
"BG0032006, King County, WA",1708,69295,677951,44.4208,1509,32.7485,90.1054,908,22.381,8.1498,24.4493,6.6667,3.4524,28.5412,757,2015,,,,,,,,,,
"BG0032007, King County, WA",1217,111905,579225,38.5281,989,8.2729,85.7847,527,25.3906,0,4.7438,6.6406,3.7109,39.5639,753,2015,,,,,,,,,,
"BG0033001, King County, WA",1284,95370,442177,34.3343,1625,15.7697,86.5265,601,36.9863,8.1531,0,7.7055,0.3425,36.4179,730,2015,,,,,,,,,,
"BG0033002, King County, WA",1202,89329,432955,41.2698,1607,12.2396,80.2829,585,56.6547,7.1795,5.641,7.9137,0.3597,38.1132,754,2015,,,,,,,,,,
"BG0033003, King County, WA",1854,68421,371233,39.2833,993,27.3016,76.699,1061,74.7275,20.8294,38.3601,7.7304,0.3964,25,751,2015,,,,,,,,,,
"BG0033004, King County, WA",1276,89655,297368,32.7307,992,38.2979,77.5862,724,70.5202,13.3978,49.0331,7.8035,0.4335,23.9837,748,2015,,,,,,,,,,
"BG0033005, King County, WA",1160,84259,412000,45.9148,942,24.1477,81.9828,520,40.8367,2.5,14.0384,7.7689,0.3984,40.4762,747,2015,,,,,,,,,,
"BG0034001, King County, WA",1232,108511,564732,27.0677,1119,9.8168,84.4156,581,46.5455,12.5645,15.4905,12,3.2727,32.9897,745,2015,,,,,,,,,,
"BG0034002, King County, WA",1232,105607,485401,43.5318,1350,3.4974,87.2565,567,31.6271,1.0582,7.5838,12.0658,3.1079,37.415,746,2015,,,,,,,,,,
"BG0034003, King County, WA",1102,113095,581081,39.1827,1237,16.6185,82.8494,514,49.3878,10.8949,0,12.2449,3.2653,36.6935,746,2015,,,,,,,,,,
"BG0035001, King County, WA",1522,104044,583665,27.6033,1207,22.3476,86.3338,742,40.1399,1.752,23.0459,5.8741,2.5175,39.8305,727,2015,,,,,,,,,,
"BG0035002, King County, WA",1446,96605,522569,43.4524,1058,12.4253,85.7538,725,43.608,3.4483,15.7241,6.108,2.5568,36.7164,735,2015,,,,,,,,,,
"BG0035003, King County, WA",1297,93651,562069,34.2427,1143,16.3424,83.7317,601,50.2693,5.1581,36.9384,5.7451,2.5135,37.3444,734,2015,,,,,,,,,,
"BG0036001, King County, WA",1390,59375,455128,60.447,1060,24.1993,75.6115,746,71.7514,0,55.228,8.8983,2.4011,27.4262,712,2015,,,,,,,,,,
"BG0036002, King County, WA",1403,87037,428333,45.6522,965,23.9155,75.9088,922,73.3333,3.4707,62.6898,8.8506,2.4138,17.3709,721,2015,,,,,,,,,,
"BG0036003, King County, WA",1406,106818,587171,37.66,1086,24.2274,78.6629,632,36.8249,4.5886,8.7025,9.0016,2.2913,39.7476,722,2015,,,,,,,,,,
"BG0036004, King County, WA",1984,71218,498077,41.0099,1304,16.853,76.4113,1344,85.342,2.8274,65.3273,8.8762,2.2801,22.3827,726,2015,,,,,,,,,,
"BG0038001, King County, WA",1202,93506,533505,35.0289,1127,14.7239,78.1198,597,46.9244,4.8576,15.913,8.0844,5.2724,43.007,714,2015,,,,,,,,,,
"BG0038002, King County, WA",1039,105469,523292,38.4106,1333,18.3099,75.0722,437,27.5294,2.746,4.119,8.2353,5.1765,41.4343,707,2015,,,,,,,,,,
"BG0039001, King County, WA",1832,94382,510090,31.307,828,10.022,71.6703,819,32.1429,0,19.9023,9.0561,3.4439,42.0259,722,2015,,,,,,,,,,
"BG0039002, King County, WA",1169,133696,584980,28.2297,1491,6.4516,77.3311,467,12.2004,0,0,9.1503,3.4858,43.2432,711,2015,,,,,,,,,,
