Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0017022, King County, WA",1024,65512,365185,28.8235,729,4.7782,79.7852,482,26.0215,0,17.0125,9.4624,3.4409,21.9424,795,2010,,,,,,,,,,
"BG0017023, King County, WA",1004,73197,424561,22.25,767,28.5714,73.6056,408,68.798,15.4412,39.951,9.4629,3.5806,34.6821,793,2010,,,,,,,,,,
"BG0017024, King County, WA",884,63710,371753,33.9542,1375,12.3967,71.9457,384,16.3102,0,0,9.6257,3.4759,13.986,793,2010,,,,,,,,,,
"BG0018001, King County, WA",1490,79816,406667,50,971,19.4649,65.906,666,55.309,0,18.4685,6.9731,1.5848,38.961,793,2010,,,,,,,,,,
"BG0018002, King County, WA",1499,72372,341718,37.931,930,17.13,70.8472,789,70.6595,14.3219,34.6008,7.1332,1.4805,44.4976,790,2010,,,,,,,,,,
"BG0018003, King County, WA",1546,66361,350962,43.7618,886,30.7356,67.8525,837,67.5853,4.3011,35.6033,7.0866,1.5748,17.5214,781,2010,,,,,,,,,,
"BG0019001, King County, WA",1529,60298,278797,37.3198,865,15.625,60.17,1132,29.0999,3.0919,54.9471,9.4945,3.9458,24.5383,777,2010,,,,,,,,,,
"BG0019002, King County, WA",1362,77524,421472,41.0959,911,15.2518,78.8546,578,27.3703,5.5363,12.1108,9.3023,3.9356,36.1842,774,2010,,,,,,,,,,
"BG0019003, King County, WA",1266,71489,375000,34.8187,1538,15.9155,79.5419,538,29.0944,1.3011,19.8886,9.4412,4.0462,25.2918,774,2010,,,,,,,,,,
"BG0020001, King County, WA",1514,74512,416184,33.3927,940,17.3077,77.0145,806,29.6599,0,27.7916,8.8435,3.4014,31.8436,772,2010,,,,,,,,,,
"BG0020002, King County, WA",980,68160,380519,45.4429,944,16.6667,78.6735,457,28.7671,0,10.2845,8.9041,3.1964,30.7692,771,2010,,,,,,,,,,
"BG0020003, King County, WA",912,97240,405785,45.2722,1352,13.8144,84.4298,416,12.9114,1.9231,11.0577,8.8608,3.2911,38.5593,769,2010,,,,,,,,,,
"BG0021001, King County, WA",1506,85636,430827,42.3684,1289,13.7423,84.5285,659,11.2878,0,9.1047,16.3752,3.0207,45.4545,768,2010,,,,,,,,,,
"BG0021002, King County, WA",897,68207,369014,34.0426,723,17.8357,75.3623,427,32.6829,2.1077,41.2177,16.3415,2.9268,42.7313,765,2010,,,,,,,,,,
"BG0021003, King County, WA",1404,73796,396277,37.1087,863,22.7723,71.1538,684,37.2457,9.0643,18.5673,16.2754,2.9734,24.3636,764,2010,,,,,,,,,,
"BG0022001, King County, WA",1485,128175,590210,32.2609,1601,9.8202,81.6835,606,10.0683,0,1.6502,15.529,1.0239,44.4206,763,2010,,,,,,,,,,
"BG0022002, King County, WA",1416,88571,436842,29.1262,1371,15.7895,79.7316,591,25.0896,0,0,15.4122,1.0753,25.0627,762,2010,,,,,,,,,,
